,animal,unit,country,geo,TIME_PERIOD,OBS_VALUE
0,Cattle,HA,Austria,AT,2020,400410
1,Cattle,HA,Belgium,BE,2020,204970
2,Cattle,HA,Bulgaria,BG,2020,220700
3,Cattle,HA,Cyprus,CY,2020,210
4,Cattle,HA,Czechia,CZ,2020,471980
5,Cattle,HA,Germany,DE,2020,1271180
6,Cattle,HA,Denmark,DK,2020,110060
7,Cattle,HA,Estonia,EE,2020,99600
8,Cattle,HA,Greece,GR,2020,58050
9,Cattle,HA,Spain,ES,2020,3592800
10,Cattle,HA,Finland,FI,2020,227860
11,Cattle,HA,France,FR,2020,4358070
12,Cattle,HA,Croatia,HR,2020,81570
13,Cattle,HA,Hungary,HU,2020,143250
14,Cattle,HA,Ireland,IE,2020,1999910
15,Cattle,HA,Italy,IT,2020,827700
16,Cattle,HA,Lithuania,LT,2020,73630
17,Cattle,HA,Luxembourg,LU,2020,27910
18,Cattle,HA,Latvia,LV,2020,137820
19,Cattle,HA,Malta,MT,2020,50
20,Cattle,HA,Netherlands,NL,2020,107770
21,Cattle,HA,Poland,PL,2020,448480
22,Cattle,HA,Portugal,PT,2020,950420
23,Cattle,HA,Romania,RO,2020,82530
24,Cattle,HA,Sweden,SE,2020,652980
25,Cattle,HA,Slovenia,SI,2020,122410
26,Cattle,HA,Slovakia,SK,2020,158520
27,Sheep,HA,Austria,AT,2020,89480
28,Sheep,HA,Belgium,BE,2020,18860
29,Sheep,HA,Bulgaria,BG,2020,289920
30,Sheep,HA,Cyprus,CY,2020,22410
31,Sheep,HA,Czechia,CZ,2020,48390
32,Sheep,HA,Germany,DE,2020,384450
33,Sheep,HA,Denmark,DK,2020,27920
34,Sheep,HA,Estonia,EE,2020,26140
35,Sheep,HA,Greece,GR,2020,533070
36,Sheep,HA,Spain,ES,2020,2708160
37,Sheep,HA,Finland,FI,2020,30740
38,Sheep,HA,France,FR,2020,1699050
39,Sheep,HA,Croatia,HR,2020,91880
40,Sheep,HA,Hungary,HU,2020,89230
41,Sheep,HA,Ireland,IE,2020,755700
42,Sheep,HA,Italy,IT,2020,1203730
43,Sheep,HA,Lithuania,LT,2020,14310
44,Sheep,HA,Luxembourg,LU,2020,2740
45,Sheep,HA,Latvia,LV,2020,29710
46,Sheep,HA,Malta,MT,2020,840
47,Sheep,HA,Netherlands,NL,2020,59410
48,Sheep,HA,Poland,PL,2020,55880
49,Sheep,HA,Portugal,PT,2020,514970
50,Sheep,HA,Romania,RO,2020,907880
51,Sheep,HA,Sweden,SE,2020,117290
52,Sheep,HA,Slovenia,SI,2020,20040
53,Sheep,HA,Slovakia,SK,2020,79420
